BPC_No;Configurat;Enabled;Grounded;PoleMateri;OperatingV;PoleStruct;PoleSuppor;PoleType;SUBTYPE;ServicesO;SizeForCon;VoltageFor;WoNumber;WireSuppor;PoleHeight;WirestayNo;DualStatus;ServicesU;Services3p;ServicesU1;ID
 ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;1 Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0000;No Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;1 Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole; ;50 sqmm;1;0000;Out Rigger Stay;9;No Wire stay;7;1; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;1 Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;1 Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;1 Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;1 Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;No Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole; ;50 sqmm;1;0000;No Stay;9;1 Wire stay;7;None; ; ;0
 ;ABC;TRUE;NO;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;1 Wire stay;7;None; ; ;0
 ;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;1 Wire stay;7;1; ; ;0
 ;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole; ;50 sqmm;1;0000;No Stay;9;1 Wire stay;7;2; ; ;0
N/A;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;00;50 sqmm;1;0005099812;No Stay;9;1 Wire stay;7;1; ; ;0
N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;00;50 sqmm;1;0005099812;No Stay;9;No Wire stay;7;None; ; ;0
N/A;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;00;50 sqmm;1;0005099812;Out Rigger Stay;9;1 Wire stay;7;None; ; ;0
N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;00;50 sqmm;1;0005099812;No Stay;9;No Wire stay;7;None; ; ;0
N/A;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;00;50 sqmm;1;0005099812;No Stay;9;1 Wire stay;7;1; ; ;0
