FID;Loading_Month;BPC_No;Configurat;Enabled;Grounded;PoleMateri;OperatingV;PoleStruct;PoleSuppor;PoleType;SUBTYPE;ServicesO;SizeForCon;VoltageFor;WoNumber;WireSuppor;PoleHeight;WirestayNo;DualStatus;ServicesU;Services3p;ServicesU1;ID
97;May; ;1;1;0;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;5104537;1;9;0;7; ; ;1;0
98;May; ;1;1;1;Wood;400;INTER/ANGLE;2;LV;Pole; ;50 sqmm;1;5104537;1;9;1;7; ; ;1;0
99;May; ;8;1;1;Wood;11000;INTER/ANGLE;1;Dual;Pole; ;25/50 sqmm;7;362804;1;11;1;4; ;1; ;0
100;May; ;8;1;0;Wood;11000;INTER/ANGLE;2;Dual;Pole; ;25/50 sqmm;7;362804;1;11;0;1; ; ;1;0
101;May; ;1;1;0;Wood;400;INTER/ANGLE;2;LV;Pole; ;50sqmm;1;383601;1;9;0;7; ; ;1;0
102;May; ;1;1;0;Wood;400;INTER/ANGLE;2;LV;Pole; ;50sqmm;1;383601;1;9;0;7; ; ;1;0
103;May; ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;473007;1;9;1;7; ; ;1;0
104;May; ;1;1;0;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;473007;1;9;0;7; ; ;1;0
105;May; ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;473129;1;9;1;7; ;1; ;0
106;May; ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;473129;1;9;1;7; ;1; ;0
107;May; ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;5087457;1;9;1;7; ; ;1;0
108;May; ;1;1;0;Wood;400;INTER/ANGLE;2;LV;Pole; ;50 sqmm;1;5087457;1;9;0;7; ; ;1;0
109;May; ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;5107195;2;9;0;7; ; ;1;0
110;May; ;1;1;1;Wood;400;TERMINAL;1;LV;Pole; ;50 sqmm;1;5107195;1;9;1;7; ;1; ;0
111;May; ;1;1;1;Wood;400;INTER/ANGLE;2;LV;Pole; ;50 sqmm;1;40376793;2;9;0;7; ; ;1;0
